,power(kW),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,month,weekday,day,tire_type_All-year tires,tire_type_Summer tires,tire_type_Winter tires,driving_style_Fast,driving_style_Moderate,driving_style_Normal,trip_distance(km)
145,150.0,14.27,1.0,0.0,0.0,18.69999999999999,0.0,0.0,6.0,3.0,24.0,0,1,0,0,0,1,3.0
146,132.0,8.69,1.0,1.0,1.0,18.419999999999987,0.0,0.0,6.0,3.0,22.0,0,0,0,0,1,0,86.0
147,111.0,9.7,1.0,1.0,0.0,16.229999999999986,0.0,0.0,6.0,3.0,30.0,0,1,0,0,0,1,72.0
148,35.0,5.0,1.0,1.0,1.0,12.684999999999988,0.0,0.0,4.0,1.0,29.0,0,1,0,0,0,1,42.0
149,60.0,4.2,1.0,0.0,0.0,13.449999999999989,0.0,0.0,8.0,3.0,10.0,0,1,0,0,0,1,28.0
150,49.0,12.23,1.0,0.0,1.0,12.939999999999987,0.0,0.0,7.0,1.0,3.0,0,1,0,0,0,1,112.4
151,315.0,44.8,1.0,1.0,0.0,24.264999999999986,0.0,0.0,3.0,2.0,9.0,0,0,1,0,1,0,119.0
152,49.0,10.59,1.0,0.0,1.0,24.409999999999986,0.0,0.0,8.0,1.0,2.0,0,1,0,0,0,1,94.8
153,88.0,3.36,0.0,1.0,1.0,12.384999999999986,1.0,1.0,12.0,1.0,15.0,0,0,1,0,1,0,4.0
154,49.0,11.9,1.0,0.0,1.0,12.369999999999987,0.0,0.0,9.0,1.0,3.0,0,1,0,0,0,1,106.8
155,35.0,5.8,1.0,1.0,1.0,12.314999999999987,0.0,0.0,9.0,4.0,2.0,0,0,1,0,0,1,43.0
156,49.0,5.8,1.0,0.0,1.0,12.299999999999986,0.0,0.0,5.0,5.0,28.0,0,1,0,0,0,1,13.0
157,278.0,35.0,1.0,1.0,1.0,16.334999999999983,0.0,0.0,9.0,6.0,11.0,0,1,0,0,0,1,75.0
158,60.0,11.63,1.0,0.0,1.0,18.084999999999983,1.0,0.0,6.0,6.0,7.0,0,1,0,0,0,1,8.0
159,111.0,2.6,1.0,0.0,0.0,13.994999999999983,0.0,0.0,7.0,3.0,25.0,0,1,0,0,1,0,23.7
160,132.0,26.0,0.0,0.0,1.0,14.569999999999984,0.0,0.0,5.0,5.0,19.0,0,1,0,0,1,0,60.0
161,278.0,32.0,1.0,1.0,1.0,19.874999999999982,0.0,0.0,2.0,2.0,19.0,0,0,1,0,0,1,77.0
162,80.0,19.11,1.0,0.0,1.0,19.094999999999985,0.0,0.0,5.0,0.0,16.0,0,1,0,0,1,0,238.0
163,35.0,13.2,1.0,1.0,1.0,15.049999999999983,0.0,1.0,11.0,3.0,12.0,0,0,1,0,0,1,83.0
164,35.0,6.2,1.0,1.0,1.0,15.159999999999984,0.0,0.0,5.0,4.0,1.0,0,1,0,0,0,1,43.0
