id,y,power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,month,weekday,day,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating
2775,1.0980392156862746,2.3855421686746987,4.583333333333333,-0.5117058043363915,0.9435483870967737,0.5077433628318583,5,5,20,3.0,0,1,0,1.0,0,0
2776,0.36470588235294105,-0.37349397590361444,0.14761904761904765,0.7204773322060479,-0.21290322580645163,-0.5033185840707964,3,6,19,3.0,0,1,1,1.0,0,0
2777,1.0196078431372548,2.3855421686746987,0.41666666666666663,-0.30363130023976326,1.9129032258064511,1.8373893805309747,1,1,16,2.0,1,0,1,1.0,0,0
2778,-0.011764705882352969,-0.37349397590361444,-0.38809523809523805,1.329740649071119,-0.01612903225806474,-0.23340707964601776,12,5,29,2.0,1,1,1,1.0,0,0
2779,0.688235294117647,0.0963855421686747,0.3095238095238095,-0.2718005479381327,-0.3596774193548387,0.07707154752174974,10,0,19,3.0,1,1,1,2.0,0,0
2780,-0.23529411764705882,0.6265060240963856,-0.41666666666666663,-0.15467473837406298,0.517741935483871,-0.18694690265486716,3,5,30,1.0,1,0,1,2.0,0,0
2781,1.0980392156862746,0.6265060240963856,0.028571428571428595,-0.28566357631280875,0.39516129032258046,-0.3550884955752215,10,3,25,3.0,0,1,0,1.0,0,1
2782,-0.6862745098039216,0.060240963855421686,-0.5357142857142857,-0.3893265007793113,0.8790322580645159,1.1714601769911515,2,3,23,2.0,1,1,1,2.0,1,1
2784,-0.6823529411764705,-0.37349397590361444,-0.594047619047619,1.2877126971270358,-0.21612903225806446,-0.5077433628318583,10,0,22,3.0,1,0,1,1.0,0,0
2785,1.1568627450980393,0.0,0.13333333333333325,-0.6634891848371514,0.21774193548387089,-0.2444690265486724,9,5,21,3.0,1,0,1,1.0,0,0
2787,-0.1705882352941177,-0.37349397590361444,-0.37261904761904757,1.4655441141828203,-0.3451612903225807,-0.6847345132743363,6,2,19,3.0,0,1,0,1.0,1,0
2788,1.2745098039215685,2.3855421686746987,1.130952380952381,-0.4084042996040518,1.3725806451612899,1.0962389380530975,9,0,18,3.0,1,1,1,1.0,0,0
2789,-0.8235294117647058,2.3855421686746987,-0.5357142857142857,0.8738354701199462,1.9451612903225801,1.8816371681415935,11,0,22,2.0,0,0,1,1.0,0,0
2790,0.11764705882352941,2.3855421686746987,0.3833333333333334,0.7840226661804711,1.2451612903225802,0.9214601769911507,7,4,23,3.0,1,0,1,1.0,0,0
2791,1.0392156862745099,2.3855421686746987,2.6785714285714284,0.06136390772179716,2.0951612903225802,2.0873893805309742,12,0,17,2.0,1,0,1,1.0,0,0
2793,0.9215686274509803,-0.5421686746987951,0.9404761904761902,0.8714862418478875,0.24677419354838667,0.34845132743362833,5,6,26,3.0,0,1,1,3.0,0,0
2795,0.10588235294117644,-0.37349397590361444,-0.1559523809523809,0.6213837858071761,-0.4274193548387097,-0.797566371681416,10,1,18,3.0,1,0,1,1.0,0,0
2798,1.192156862745098,-0.37349397590361444,0.5607142857142858,-0.36588584944931896,-0.5064516129032258,-0.6847345132743363,7,0,19,3.0,1,1,1,1.0,0,0
2799,-0.5411764705882354,0.0963855421686747,-0.6369047619047619,-0.5746573773189755,-0.4903225806451614,0.07707154752174974,3,1,19,3.0,1,0,0,2.0,0,0
2801,-0.27450980392156865,2.3855421686746987,0.6547619047619048,0.12099816385867197,1.737096774193548,1.5962389380530986,2,2,20,2.0,1,0,1,1.0,0,0
2803,0.6294117647058822,-0.37349397590361444,0.1809523809523809,-0.6522335416875075,-0.49193548387096775,-0.886061946902655,5,4,18,3.0,1,1,1,1.0,0,0
2804,-0.19607843137254902,-0.5421686746987951,-0.15476190476190474,-0.32277363830274713,0.23387096774193533,0.3307522123893809,6,4,19,3.0,1,1,1,3.0,0,0
2805,0.803921568627451,2.3855421686746987,2.9166666666666665,0.7080987063109694,2.0080645161290316,1.9679203539823023,11,2,25,2.0,1,0,1,1.0,0,0
2810,0.21176470588235288,-0.37349397590361444,0.14761904761904765,0.4134770837299807,-0.05806451612903244,-0.29092920353982304,2,3,18,2.0,1,0,1,1.0,0,0
2811,-0.1568627450980392,-0.5421686746987951,-0.22619047619047622,0.8405074074910693,-0.08225806451612927,-0.10287610619469029,4,1,16,3.0,1,1,1,1.0,0,0
2812,0.3333333333333333,2.3855421686746987,2.5595238095238093,0.7068595529366967,2.0080645161290316,1.9679203539823023,11,4,20,2.0,1,1,1,1.0,0,0
2813,-0.096078431372549,-0.37349397590361444,-0.26547619047619053,-0.16558186963719268,-0.1677419354838711,-0.22013274336283178,2,0,28,2.0,1,0,1,1.0,0,0
2814,-0.292156862745098,-0.37349397590361444,0.014285714285714192,0.9576074013598418,-0.44838709677419364,-0.8263274336283188,10,6,22,3.0,0,1,0,1.0,0,0
2815,-0.2549019607843137,-0.5421686746987951,-0.20238095238095238,-0.21501892613161486,0.26451612903225813,0.37278761061946963,10,2,21,2.0,1,1,1,3.0,0,1
2817,-0.23529411764705882,0.060240963855421686,-0.08095238095238091,0.1668726544020601,0.5241935483870966,0.6847345132743371,3,0,18,2.0,0,0,1,1.0,0,1
2818,-0.2549019607843137,-0.5421686746987951,-0.35714285714285715,0.8660649458354444,-0.2338709677419356,-0.3108407079646018,5,0,20,3.0,1,1,1,1.0,0,0
2821,0.7647058823529411,0.6265060240963856,0.6785714285714285,-0.26510137500847075,0.09032258064516106,-0.7732300884955758,11,4,23,1.0,1,1,1,1.0,0,1
2823,0.6470588235294118,0.060240963855421686,0.33928571428571425,-0.08967081761533968,-0.44354838709677413,-0.6426991150442476,7,0,30,3.0,0,1,0,2.0,0,0
2829,3.8823529411764706,2.3855421686746987,6.011904761904762,-0.4572217794113376,1.4225806451612901,1.1648230088495581,7,0,17,3.0,1,1,1,1.0,0,0
2834,0.3333333333333333,0.060240963855421686,-0.2595238095238095,-0.25836347853586283,-0.15322580645161304,-0.2444690265486724,4,6,22,3.0,0,0,1,2.0,0,0
2836,-0.5490196078431373,0.060240963855421686,-0.5297619047619048,-0.2592928435665674,-0.4758064516129033,-0.6869469026548672,4,5,21,3.0,0,0,1,2.0,0,0
2838,-0.2549019607843137,-0.5421686746987951,-0.2976190476190476,0.4096434529783245,-0.04193548387096799,-0.04756637168141592,10,3,19,2.0,1,1,1,1.0,0,1
2843,-0.058823529411764705,-0.5421686746987951,0.10714285714285718,1.3258812026241655,0.569354838709677,0.7909292035398232,2,3,18,2.0,1,1,1,1.0,0,1
2847,-0.37254901960784315,0.060240963855421686,-0.40833333333333327,-0.6869814675577384,-0.07258064516129048,-0.13384955752212366,12,3,31,2.0,0,1,0,1.0,0,0
2849,3.2549019607843137,2.3855421686746987,5.535714285714286,0.20892642204144066,0.9435483870967737,0.5077433628318583,4,1,23,3.0,0,1,1,1.0,0,0
2851,0.9176470588235294,-0.37349397590361444,0.2976190476190476,-0.0700508891893549,-0.6032258064516128,-1.0387168141592922,6,3,26,3.0,1,0,1,1.0,0,0
2856,0.9215686274509803,-0.37349397590361444,0.37023809523809514,0.15432622648754876,-0.5112903225806451,-0.9126106194690266,4,1,21,3.0,1,1,1,1.0,1,0
2857,-0.11960784313725493,-0.37349397590361444,-0.21428571428571425,1.3672250386428688,-0.1370967741935486,-0.39933628318584086,2,0,25,2.0,1,0,1,1.0,0,0
2859,1.6862745098039216,2.3855421686746987,2.9166666666666665,0.7041747206257725,2.0080645161290316,1.9679203539823023,11,1,17,2.0,1,0,1,1.0,0,0
2860,-0.0921568627450981,-0.37349397590361444,-0.24999999999999994,1.4941866281152283,-0.2951612903225806,-0.6161504424778761,7,4,19,3.0,1,0,1,1.0,0,0
2862,-0.6470588235294118,0.060240963855421686,-0.5595238095238095,-0.33375821665176886,0.4596774193548383,0.5962389380530977,4,2,26,2.0,1,0,1,2.0,0,0
2864,-0.6470588235294118,-0.5421686746987951,-0.6309523809523809,1.1267389291004197,0.0,0.009955752212389762,4,3,23,3.0,1,0,1,3.0,0,0
2865,-0.2549019607843137,-0.5421686746987951,-0.3333333333333333,-0.18848039136594072,-0.1580645161290323,-0.20685840707964578,11,1,17,2.0,1,1,1,1.0,0,1
2869,-0.06470588235294113,-0.37349397590361444,-0.35000000000000003,-0.1123757216293576,-0.6129032258064516,-1.0519911504424782,5,1,20,3.0,1,0,1,1.0,0,0
2870,-0.21568627450980393,0.060240963855421686,0.051190476190476154,-0.4358721994004305,0.42741935483870935,0.5519911504424784,1,2,17,2.0,0,1,0,2.0,0,1
2872,-0.7647058823529411,0.060240963855421686,-0.9452380952380951,-0.09405948581588891,-0.25000000000000006,-0.37721238938053075,7,0,23,3.0,0,1,0,2.0,0,0
2874,0.6078431372549019,0.060240963855421686,0.5726190476190477,-0.6198606597846326,-0.18548387096774197,-0.28871681415929173,9,1,26,3.0,0,1,0,2.0,0,1
