manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,16.66,2,0,1,0,2,14.9,0,1,57.0,-1.9,85.0,11,3,16
Volkswagen,85,9.93,2,0,1,0,2,15.5,0,1,84.0,-1.3,46.0,3,1,20
Volkswagen,85,3.3,2,1,0,1,2,10.0,0,0,41.0,-6.8,33.0,11,2,2
Volkswagen,85,8.74,3,0,1,0,3,11.5,0,0,37.0,-5.3,76.0,8,5,13
Volkswagen,85,3.9,2,1,1,1,2,19.6,0,0,43.0,2.8,20.0,1,1,16
Volkswagen,85,3.7,2,1,1,1,3,18.7,0,0,43.0,1.9,20.0,11,4,11
Volkswagen,85,1.66,2,1,1,1,3,8.3,0,0,42.0,-8.5,20.0,3,5,28
Volkswagen,85,12.12,3,0,1,0,2,11.7,0,0,67.0,-5.1,72.0,8,0,13
Volkswagen,85,1.3,3,1,1,1,2,6.6,0,0,49.0,-10.2,19.0,5,0,28
Volkswagen,85,3.5,3,1,1,1,2,17.4,0,0,43.0,0.6,20.0,10,2,11
Volkswagen,85,18.3,2,1,0,1,2,15.5,0,0,68.0,-1.3,118.0,11,6,12
Volkswagen,85,0.66,2,1,0,0,3,16.7,0,0,16.0,-0.1,4.0,3,0,7
Volkswagen,85,0.87,2,1,0,1,2,14.6,0,1,22.0,-2.2,6.0,11,6,15
Volkswagen,85,3.58,3,1,1,1,2,17.9,0,0,45.0,1.1,20.0,8,0,31
Volkswagen,85,1.3,3,1,1,1,2,7.1,0,0,38.0,-9.7,19.0,6,2,20
Volkswagen,85,3.7,3,1,1,1,3,18.5,0,1,47.0,1.7,20.0,9,2,23
Volkswagen,85,26.86,3,0,1,1,2,11.1,0,0,47.0,-5.7,242.0,6,5,6
Volkswagen,85,13.76,2,0,1,0,3,16.3,0,1,57.0,-0.5,90.0,4,4,13
Volkswagen,85,1.87,3,1,0,1,3,8.5,0,0,43.0,-8.3,22.0,8,2,17
Volkswagen,85,3.22,3,1,1,1,2,16.1,0,0,48.0,-0.7,20.0,8,1,4
Volkswagen,85,13.48,3,0,0,1,2,13.9,0,0,63.0,-2.9,97.0,6,6,24
Volkswagen,85,9.8,3,0,1,0,2,12.4,0,0,75.0,-4.4,86.0,4,4,20
Volkswagen,85,1.52,3,1,1,1,3,7.6,0,0,48.0,-9.2,20.0,10,0,5
Volkswagen,85,5.2,2,1,1,1,3,20.0,1,0,24.0,3.2,26.0,12,6,21
Volkswagen,85,1.67,3,0,1,0,2,12.2,0,0,62.0,-4.6,88.0,6,3,21
Volkswagen,85,3.54,2,1,1,1,2,17.7,0,0,45.0,0.9,20.0,11,3,24
Volkswagen,85,3.74,3,1,1,1,2,18.7,0,0,40.0,1.9,20.0,5,3,7
Volkswagen,85,3.06,2,1,1,0,1,16.1,0,0,45.0,-0.7,19.0,12,1,29
Volkswagen,85,14.14,2,0,1,0,2,15.4,0,1,77.0,-1.4,99.0,1,2,10
Volkswagen,85,3.9,2,1,1,1,3,19.5,0,0,42.0,2.7,20.0,12,2,7
Volkswagen,85,0.5,3,1,0,0,2,12.6,0,0,20.0,-4.2,4.0,5,5,9
Volkswagen,85,8.5,2,0,1,0,2,14.9,0,1,79.0,-1.9,47.0,3,0,19
Volkswagen,85,0.59,3,1,0,0,2,11.9,0,0,26.0,-4.9,5.0,6,1,28
Volkswagen,85,4.0,2,1,1,1,2,20.0,0,0,45.0,3.2,20.0,2,2,22
Volkswagen,85,0.21,3,1,0,0,2,10.9,0,0,20.0,-5.9,2.0,9,1,29
Volkswagen,85,0.37,3,1,0,0,2,12.5,0,1,15.0,-4.3,3.0,9,5,15
Volkswagen,85,12.46,2,0,1,0,2,14.6,0,1,75.0,-2.2,88.0,2,0,5
Volkswagen,85,2.52,3,1,1,1,2,10.1,0,0,39.0,-6.7,25.0,6,4,17
