,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),user_id,month,weekday,day
6762,85.0,15.78,103272.0,3.0,0,1,1,1.0,12.9,0,0,0.200000000000001,89.0,Tesla_Model_S_2015,7,3,18
9760,49.0,13.51,68111.0,3.0,1,1,1,1.0,11.41,0,0,-2.09,118.4,Tesla_Model_S_2015,7,5,26
8952,49.0,8.1,101861.0,2.0,1,0,1,1.0,15.85,0,1,2.35,51.1,Tesla_Model_S_2015,1,0,18
6897,85.0,9.55,77700.0,3.0,0,1,0,2.0,13.8,0,1,1.1000000000000014,102.0,Tesla_Model_S_2015,10,3,25
1461,278.0,37.0,86406.0,3.0,0,1,0,1.0,18.63,0,0,2.5299999999999976,223.0,Tesla_Model_S_2015,4,0,15
17767,35.0,6.0,57637.0,2.0,1,1,1,1.0,14.29,0,1,1.7899999999999991,42.0,Tesla_Model_S_2015,11,4,20
8909,49.0,6.23,117710.0,3.0,0,1,1,1.0,11.43,0,0,-2.0700000000000003,55.9,Tesla_Model_S_2015,9,0,12
18288,35.0,6.0,39942.0,2.0,1,1,1,1.0,14.29,0,0,1.7899999999999991,42.0,Tesla_Model_S_2015,3,2,11
23209,278.0,23.0,111399.0,2.0,1,1,1,1.0,22.47,0,0,6.369999999999997,7.0,Tesla_Model_S_2015,1,4,31
22431,278.0,21.0,140069.0,2.0,0,1,1,1.0,28.46,0,0,12.36,160.0,Tesla_Model_S_2015,12,4,3
11121,49.0,4.3,139394.0,3.0,1,0,0,1.0,12.47,0,0,-1.0299999999999994,2.5,Tesla_Model_S_2015,8,4,4
7882,80.0,10.0,49361.0,3.0,0,1,0,1.0,17.85,1,0,2.8500000000000014,95.0,Tesla_Model_S_2015,8,6,2
22011,132.0,3.04,87011.0,1.0,1,0,0,2.0,12.16,0,1,-4.440000000000001,25.0,Tesla_Model_S_2015,2,2,10
10134,49.0,6.47,136690.0,3.0,1,0,1,1.0,11.55,0,0,-1.9499999999999995,56.0,Tesla_Model_S_2015,6,2,28
8714,49.0,12.19,75391.0,3.0,1,0,1,1.0,12.06,0,0,-1.4399999999999995,101.1,Tesla_Model_S_2015,11,2,12
2598,278.0,51.0,78894.0,2.0,1,1,1,1.0,25.04,0,0,8.939999999999998,150.0,Tesla_Model_S_2015,1,0,14
17531,88.0,3.64,50567.0,3.0,1,0,0,2.0,11.31,0,0,2.305746737554374,32.2,Tesla_Model_S_2015,10,3,8
10505,49.0,4.53,103639.0,2.0,1,0,1,1.0,14.01,0,0,0.5099999999999998,32.4,Tesla_Model_S_2015,2,5,13
14633,49.0,4.21,58133.0,2.0,1,1,1,1.0,14.04,0,0,1.5399999999999991,28.1,Tesla_Model_S_2015,2,0,14
7791,80.0,11.04,68050.0,3.0,1,0,1,2.0,39.25,0,0,24.25,9.0,Tesla_Model_S_2015,11,6,21
6331,85.0,7.81,48834.0,2.0,0,1,0,2.0,12.3,0,0,-0.3999999999999986,86.0,Tesla_Model_S_2015,4,1,3
18154,35.0,9.2,172250.0,2.0,1,1,1,1.0,21.4,0,1,8.899999999999999,43.0,Tesla_Model_S_2015,1,4,8
17755,35.0,8.4,19628.0,3.0,0,1,1,2.0,14.48,0,0,1.9800000000000004,58.0,Tesla_Model_S_2015,5,6,4
20234,35.0,6.5,107766.0,2.0,1,1,1,1.0,15.48,0,1,2.9800000000000004,42.0,Tesla_Model_S_2015,1,2,31
21753,132.0,14.09,71416.0,3.0,1,0,1,1.0,19.78,0,0,3.18,63.0,Tesla_Model_S_2015,10,2,9
9348,49.0,1.96,175631.0,2.0,1,0,0,1.0,13.61,0,0,0.1099999999999994,0.5,Tesla_Model_S_2015,1,0,14
22029,132.0,18.89,95534.0,3.0,1,0,1,3.0,15.54,0,0,-1.0600000000000025,18.0,Tesla_Model_S_2015,8,5,7
12778,85.0,35.5,76552.0,3.0,0,1,0,2.0,11.0,0,0,-1.6999999999999993,323.0,Tesla_Model_S_2015,8,2,15
19787,35.0,2.8,63409.0,2.0,1,0,0,1.0,20.0,0,1,7.5,14.0,Tesla_Model_S_2015,2,0,15
19775,35.0,6.1,40574.0,2.0,1,1,1,1.0,14.52,0,1,2.02,42.0,Tesla_Model_S_2015,3,2,18
12391,85.0,5.07,18714.0,2.0,0,1,0,1.0,14.1,0,0,1.4000000000000004,36.0,Tesla_Model_S_2015,12,3,31
7803,80.0,13.13,54680.0,3.0,0,0,1,2.0,22.18,0,1,7.18,57.0,Tesla_Model_S_2015,11,2,25
13886,49.0,6.87,48819.0,3.0,0,1,1,1.0,12.2,0,0,-0.3000000000000007,63.7,Tesla_Model_S_2015,9,0,20
7903,80.0,2.83,69575.0,2.0,1,0,1,2.0,17.58,0,1,2.5799999999999983,61.0,Tesla_Model_S_2015,12,2,22
10829,49.0,6.8,158475.0,3.0,1,0,1,1.0,11.02,0,0,-2.4800000000000004,17.8,Tesla_Model_S_2015,5,3,31
8424,49.0,9.9,88087.0,3.0,1,0,1,1.0,11.31,0,0,-2.1899999999999995,87.5,Tesla_Model_S_2015,6,5,20
19173,35.0,5.9,140097.0,3.0,1,1,1,3.0,14.05,0,0,1.5500000000000007,42.0,Tesla_Model_S_2015,6,1,11
6200,85.0,10.87,72484.0,3.0,0,1,0,1.0,12.7,0,0,0.0,87.0,Tesla_Model_S_2015,9,5,22
7099,85.0,3.72,54167.0,3.0,1,0,0,3.0,12.4,0,0,-0.2999999999999989,4.0,Tesla_Model_S_2015,5,4,11
8083,80.0,9.21,67309.0,3.0,1,0,1,2.0,13.6,0,0,-1.4000000000000004,44.0,Tesla_Model_S_2015,11,0,1
10785,49.0,8.14,92037.0,3.0,1,0,1,1.0,12.19,1,0,-1.3100000000000005,66.8,Tesla_Model_S_2015,8,4,14
23020,278.0,17.0,64001.0,3.0,0,0,1,1.0,20.82,0,0,4.719999999999999,19.0,Tesla_Model_S_2015,7,3,12
17225,88.0,8.32,13956.0,3.0,1,1,1,2.0,9.94,0,0,2.305746737554374,83.7,Tesla_Model_S_2015,7,0,30
17328,88.0,16.66,24020.0,3.0,1,1,1,2.0,13.8,0,0,2.305746737554374,120.7,Tesla_Model_S_2015,1,0,21
22960,278.0,40.0,113221.0,2.0,1,1,1,1.0,23.95,0,0,7.849999999999998,132.0,Tesla_Model_S_2015,2,6,23
21816,132.0,11.0,41720.0,3.0,1,1,0,2.0,13.71,0,0,-2.890000000000001,102.0,Tesla_Model_S_2015,6,3,14
7902,80.0,5.0,13110.0,2.0,0,1,1,1.0,16.61,0,0,1.6099999999999994,60.0,Tesla_Model_S_2015,4,5,27
10616,49.0,9.92,59676.0,3.0,1,1,1,1.0,11.49,0,0,-2.01,49.9,Tesla_Model_S_2015,3,5,29
9122,49.0,10.62,21971.0,3.0,1,1,1,1.0,12.14,0,0,-1.3599999999999994,87.5,Tesla_Model_S_2015,5,6,27
17185,88.0,3.11,32345.0,3.0,0,0,1,2.0,10.17,0,0,2.305746737554374,30.6,Tesla_Model_S_2015,6,6,16
12010,85.0,3.3,80461.0,2.0,1,1,1,2.0,16.7,0,0,4.0,20.0,Tesla_Model_S_2015,10,1,16
1640,278.0,47.0,54081.0,2.0,1,0,1,1.0,26.0,0,0,9.9,50.0,Tesla_Model_S_2015,3,3,29
