,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
18472,49.0,8.7,132284.0,3.0,1,1,1,1.0,11.7,0,0,-1.8000000000000007,57.8,5,4,5
22261,85.0,10.06,59421.0,3.0,0,1,0,2.0,11.7,0,0,-1.0,86.0,6,0,18
5745,88.0,13.4,86260.0,2.0,0,1,1,2.0,13.2,1,1,2.5732372740337426,104.0,2,0,22
8780,278.0,15.0,77967.0,2.0,1,0,1,1.0,27.97,0,0,11.869999999999996,40.0,12,6,30
2984,85.0,18.76,10045.0,3.0,0,1,1,1.0,11.8,0,0,-0.8999999999999986,159.0,7,4,10
15054,132.0,12.9,25129.0,3.0,1,1,1,1.0,23.51,0,0,6.91,69.0,9,3,21
4035,132.0,25.5,101305.0,1.0,1,1,1,2.0,16.57,0,1,-0.0300000000000011,2.0,11,6,28
5501,85.0,12.23,100771.0,3.0,0,0,1,1.0,13.3,0,0,0.6000000000000014,61.0,7,3,4
8979,49.0,6.75,60909.0,2.0,1,0,1,1.0,14.21,0,0,1.7100000000000009,47.5,4,1,5
5809,49.0,10.95,66795.0,3.0,1,0,1,1.0,11.25,0,0,-1.25,97.3,7,4,1
19334,85.0,14.65,53402.0,3.0,1,1,1,1.0,11.1,0,0,-1.5999999999999996,132.0,9,6,29
18597,85.0,7.25,13101.0,3.0,1,0,1,1.0,11.7,0,0,-1.0,62.0,5,5,13
26134,85.0,3.84,83093.0,2.0,1,0,1,1.0,18.3,0,0,5.600000000000001,21.0,1,0,10
16479,278.0,40.0,69978.0,3.0,1,1,0,1.0,20.92,0,0,4.82,199.0,9,3,13
7135,49.0,6.1,145038.0,3.0,1,0,1,1.0,12.45,0,0,-1.0500000000000007,49.0,10,0,9
16250,85.0,3.87,81941.0,2.0,1,0,1,1.0,17.6,0,0,4.900000000000002,22.0,12,4,10
19409,278.0,46.0,12712.0,3.0,0,1,0,3.0,22.55,0,0,6.449999999999999,204.0,8,0,1
11963,85.0,10.95,75457.0,3.0,0,1,0,1.0,13.6,0,0,0.9000000000000004,102.0,10,2,10
2896,132.0,3.29,102207.0,1.0,1,0,1,2.0,19.03,0,0,2.43,37.0,12,4,31
23307,88.0,16.02,14488.0,2.0,0,1,1,2.0,13.7,1,0,2.5732372740337426,70.0,4,3,4
11808,278.0,23.0,98263.0,3.0,0,1,1,1.0,19.66,0,0,3.5599999999999987,44.0,7,6,28
20970,88.0,3.88,48430.0,3.0,1,0,0,2.0,9.27,0,0,2.5732372740337426,41.8,7,3,30
19417,278.0,17.0,123249.0,3.0,1,0,1,1.0,21.01,0,0,4.91,115.0,9,6,20
18695,278.0,25.0,31010.0,3.0,1,0,1,1.0,20.0,0,0,3.899999999999999,140.0,5,6,7
24920,35.0,8.6,171767.0,2.0,1,1,1,1.0,20.0,0,1,7.5,43.0,12,1,22
6308,85.0,13.2,26432.0,3.0,0,1,0,1.0,13.3,0,0,0.6000000000000014,104.0,10,0,16
2988,49.0,2.0,169746.0,3.0,1,1,1,1.0,13.37,0,0,-0.1300000000000007,40.0,10,1,2
16058,315.0,16.4,90123.0,2.0,1,1,0,2.0,34.76,0,0,19.96,9.0,1,5,16
13437,85.0,10.81,21998.0,2.0,1,0,1,1.0,16.9,1,1,4.199999999999999,64.0,11,2,22
15721,35.0,12.5,129448.0,2.0,1,0,0,1.0,21.93,0,1,9.43,57.0,12,6,30
20853,315.0,32.2,85349.0,3.0,1,1,0,2.0,24.74,0,0,9.939999999999998,114.0,9,3,17
17976,80.0,11.99,67877.0,3.0,1,0,1,2.0,6.43,0,0,-8.57,225.0,11,1,16
21632,85.0,7.29,114492.0,3.0,0,1,0,2.0,14.9,0,0,2.200000000000001,81.0,9,6,29
16009,85.0,11.22,22344.0,2.0,1,1,1,1.0,16.5,1,1,3.8000000000000007,68.0,11,3,30
773,49.0,5.9,289.0,3.0,0,0,1,1.0,12.34,0,0,-1.16,47.8,5,4,13
2574,49.0,11.0,45678.0,3.0,1,0,1,1.0,11.53,0,0,-0.9700000000000006,95.4,8,4,20
4082,88.0,1.83,10593.0,3.0,0,0,0,2.0,10.34,0,0,2.5732372740337426,17.7,5,6,6
6091,49.0,5.97,176369.0,2.0,1,0,0,1.0,15.51,0,0,2.01,0.9,1,5,26
20550,88.0,11.89,50542.0,2.0,0,1,1,2.0,15.1,1,1,2.5732372740337426,59.0,2,3,20
10328,35.0,7.4,80172.0,2.0,1,1,1,3.0,16.44,0,1,3.940000000000001,45.0,10,4,14
5161,35.0,14.2,19570.0,3.0,0,0,1,3.0,15.11,0,0,2.6099999999999994,94.0,5,5,3
11349,35.0,18.5,36160.0,2.0,1,1,1,1.0,18.69,0,1,6.190000000000001,99.0,1,3,22
22473,85.0,16.5,60457.0,3.0,0,1,0,1.0,16.3,0,0,3.6000000000000014,40.0,6,5,23
211,49.0,11.59,91971.0,3.0,1,0,1,1.0,11.3,0,0,-2.2,102.6,8,3,13
10389,35.0,4.9,21144.0,3.0,1,1,1,1.0,11.67,0,0,-0.8300000000000001,42.0,5,3,22
20623,88.0,17.86,4563.0,3.0,1,1,1,2.0,14.05,0,0,2.5732372740337426,127.1,12,4,29
