,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
10612,49.0,10.53,136568.0,3,1,1,1,1,10.88,0,0,-2.619999999999999,96.8,6,0,26
9266,49.0,7.21,134186.0,3,1,1,1,1,10.53,0,0,-2.9700000000000006,101.1,5,6,28
10973,49.0,7.88,104716.0,2,1,0,1,1,15.18,0,1,1.6799999999999995,51.9,3,4,4
8401,49.0,15.6,4670.0,3,0,1,1,1,13.22,1,0,-0.2799999999999993,118.0,8,0,15
9028,49.0,15.24,20543.0,3,1,0,1,2,11.58,0,0,-1.92,51.0,5,1,8
9187,49.0,1.4,48233.0,3,1,0,1,1,14.0,0,0,0.5,10.0,9,6,1
9265,49.0,8.4,79348.0,2,1,0,1,1,13.93,0,0,0.4299999999999997,60.3,2,0,2
10116,49.0,6.8,120918.0,3,1,0,1,1,13.2,0,0,-0.3000000000000007,51.5,10,3,27
9406,49.0,8.59,168442.0,3,1,1,1,1,11.61,0,0,-1.8900000000000008,50.6,9,0,17
9329,49.0,5.5,162277.0,3,1,1,1,1,11.63,1,0,-1.8699999999999992,61.8,7,5,14
9483,49.0,2.75,169422.0,3,0,1,0,1,11.23,0,0,-2.27,13.9,9,4,28
9556,49.0,12.82,35903.0,2,1,0,1,1,13.39,0,0,-0.1099999999999994,102.9,1,1,8
8469,49.0,10.6,186627.0,3,0,1,1,1,12.56,1,0,-0.9399999999999996,50.7,6,0,24
10329,49.0,3.97,168592.0,3,1,1,1,1,11.67,0,0,-1.83,58.6,9,2,19
8755,49.0,12.73,19282.0,3,1,1,1,2,10.65,0,0,-2.85,119.5,4,5,28
10351,49.0,11.99,42575.0,3,1,0,1,1,11.75,0,0,-1.75,102.0,5,3,23
9967,49.0,11.42,67257.0,3,1,0,1,1,11.77,0,0,-1.7300000000000004,97.0,7,2,9
10928,49.0,13.34,76282.0,2,1,0,1,1,13.5,0,0,0.0,104.0,12,2,3
8587,49.0,7.54,76557.0,2,1,0,1,1,14.31,0,1,0.8100000000000005,52.7,12,0,8
10797,49.0,11.66,42293.0,3,1,0,1,1,11.67,0,0,-1.83,99.9,5,2,15
8846,49.0,10.1,133332.0,3,0,1,1,1,11.56,0,0,-1.9399999999999995,76.6,5,6,21
10044,49.0,7.82,132348.0,3,1,0,1,3,12.39,0,0,-1.1099999999999994,63.1,5,5,6
9770,49.0,16.4,4405.0,3,1,0,1,1,11.28,0,0,-2.2200000000000006,145.4,8,3,11
10033,49.0,6.02,158152.0,3,1,1,1,1,11.49,1,0,-2.01,75.8,5,2,30
9625,49.0,7.42,163604.0,3,1,1,1,1,11.27,0,0,-2.2300000000000004,25.5,8,4,3
8556,49.0,7.01,158076.0,3,0,1,0,1,11.49,1,0,-2.01,52.8,5,2,30
9495,49.0,10.34,94374.0,3,1,1,1,1,11.2,0,0,-2.3000000000000007,92.3,9,0,14
8198,49.0,5.93,164499.0,3,1,0,1,1,12.62,0,0,-0.8800000000000008,47.0,8,1,14
10069,49.0,7.55,142404.0,3,1,0,1,1,11.78,0,0,-1.7200000000000006,64.1,9,3,7
9172,49.0,8.1,108443.0,3,1,0,1,1,12.29,0,0,-1.2100000000000009,65.9,5,2,11
10416,49.0,7.16,153193.0,2,1,0,1,1,13.28,0,0,-0.2200000000000006,53.9,3,2,28
9395,49.0,6.7,189156.0,3,1,0,1,1,12.59,0,0,-0.91,53.2,8,0,19
9086,49.0,14.11,12666.0,2,1,0,1,1,14.27,0,0,0.7699999999999996,98.9,1,3,12
9835,49.0,7.83,129235.0,3,1,1,1,1,11.59,0,0,-1.91,29.8,3,4,31
9656,49.0,8.48,161383.0,3,1,1,1,1,11.3,0,0,-2.2,56.6,7,2,4
8698,49.0,4.0,50414.0,3,1,0,1,2,12.56,0,0,-0.9399999999999996,35.5,10,3,3
9580,49.0,9.1,82633.0,3,1,1,1,1,12.11,0,0,-1.3900000000000006,102.8,4,4,3
10219,49.0,7.0,122262.0,2,1,0,1,1,13.26,0,0,-0.2400000000000002,52.8,11,1,22
9392,49.0,4.24,140043.0,3,1,0,1,1,11.43,0,0,-2.0700000000000003,72.6,8,1,8
10777,49.0,5.2,168351.0,3,1,1,1,1,11.74,0,0,-1.7599999999999998,44.3,9,6,16
9593,49.0,5.7,137495.0,3,1,0,1,1,11.9,0,0,-1.5999999999999996,47.9,7,2,12
11061,49.0,6.82,125580.0,2,1,0,1,1,14.51,0,0,1.0099999999999998,47.0,2,4,3
9494,49.0,6.56,161294.0,3,1,1,1,1,11.74,0,0,-1.7599999999999998,43.4,7,2,4
10519,49.0,4.76,180733.0,3,0,1,0,1,11.73,0,0,-1.7699999999999996,51.2,4,6,7
8747,49.0,5.97,176369.0,2,1,0,0,1,15.51,0,0,2.01,0.9,1,5,26
10419,49.0,0.7,19490.0,3,1,0,0,1,11.45,0,0,-2.0500000000000007,4.0,5,4,4
11046,49.0,6.37,131089.0,3,1,0,1,1,12.06,0,0,-1.4399999999999995,52.8,4,3,27
8944,49.0,10.34,80410.0,2,1,1,1,1,13.06,0,0,-0.4399999999999995,79.2,2,5,21
8960,49.0,7.55,86954.0,3,1,0,1,1,11.97,0,0,-1.5299999999999994,62.5,6,5,6
10005,49.0,6.9,80712.0,2,1,0,1,1,12.77,0,0,-0.7300000000000004,66.0,2,3,26
10335,49.0,8.39,87339.0,3,1,0,1,1,12.3,0,0,-1.1999999999999993,68.2,6,3,11
10434,49.0,4.86,130580.0,3,1,1,1,1,13.8,0,0,0.3000000000000007,37.7,4,0,17
8252,49.0,11.11,71518.0,3,1,0,1,1,11.1,0,0,-2.4000000000000004,100.1,9,3,18
9259,49.0,7.08,13781.0,2,1,0,1,1,14.78,0,0,1.2799999999999994,47.9,1,0,30
9168,49.0,5.64,185850.0,3,0,1,1,1,12.38,0,0,-1.1199999999999992,38.0,6,3,20
10234,49.0,5.43,88000.0,3,1,0,1,1,11.0,0,0,-2.5,14.0,6,3,18
10647,49.0,5.0,164110.0,3,1,1,1,1,11.65,1,0,-1.85,84.5,8,2,8
11005,49.0,16.4,3751.0,3,1,1,1,1,12.83,0,0,-0.6699999999999999,127.8,7,6,31
9645,49.0,6.21,106722.0,3,1,0,1,1,12.22,0,0,-1.2799999999999994,50.8,4,1,12
9684,49.0,13.21,91868.0,3,0,1,1,1,10.19,0,0,-3.3100000000000005,91.6,8,2,12
10577,49.0,6.47,147539.0,3,1,0,1,1,12.71,0,0,-0.7899999999999991,50.9,11,3,23
10233,49.0,7.79,99287.0,2,1,0,1,1,15.04,0,1,1.5399999999999991,51.8,12,5,5
8179,49.0,7.6,184887.0,3,0,1,1,3,14.3,0,0,0.8000000000000007,21.9,6,5,8
10662,49.0,7.17,80956.0,2,1,0,1,1,12.49,0,0,-1.0099999999999998,57.4,3,0,2
10029,49.0,7.6,56525.0,2,1,0,1,1,13.83,0,0,0.33,37.0,1,6,26
9457,49.0,1.6,100977.0,2,1,1,1,1,13.34,0,0,-0.1600000000000001,16.8,12,0,28
9273,49.0,13.74,82339.0,3,1,0,1,1,11.88,0,0,-1.6199999999999992,115.7,4,2,1
10145,49.0,6.1,156696.0,3,1,0,1,1,12.5,0,0,-1.0,48.8,5,4,11
9133,49.0,3.9,161611.0,3,1,1,1,1,11.76,0,0,-1.7400000000000002,60.8,7,5,7
10746,49.0,3.28,29654.0,3,1,0,1,1,9.95,0,0,-3.5500000000000007,50.1,9,5,15
8687,49.0,2.5,173286.0,2,1,1,1,1,13.48,0,0,-0.0199999999999995,50.8,11,2,21
10801,49.0,7.78,76007.0,2,1,0,1,1,14.38,0,1,0.8800000000000008,54.1,11,1,25
10908,49.0,10.99,113049.0,3,1,0,1,1,11.52,0,0,-1.9800000000000004,95.4,7,1,26
11105,49.0,10.98,149900.0,2,1,1,1,1,13.34,0,0,-0.1600000000000001,54.6,1,5,13
9318,49.0,11.6,69662.0,3,1,0,1,1,11.63,0,0,-1.8699999999999992,99.7,8,2,20
9886,49.0,11.22,139162.0,3,0,1,1,2,11.04,0,0,-2.460000000000001,66.7,8,3,3
8143,49.0,5.8,163425.0,3,1,0,1,1,11.69,0,0,-1.8100000000000005,49.6,7,1,31
8163,49.0,13.53,36934.0,2,1,0,1,1,13.69,0,0,0.1899999999999995,100.2,2,4,1
10942,49.0,7.4,4471.0,3,1,0,1,1,11.16,0,0,-2.34,66.3,8,4,12
9394,49.0,7.83,102614.0,2,0,1,0,3,13.07,0,0,-0.4299999999999997,77.3,1,6,31
8665,49.0,15.51,15477.0,2,0,1,1,1,12.91,0,0,-0.5899999999999999,55.6,3,0,5
10221,49.0,4.84,9025.0,3,1,1,1,1,12.51,0,0,-0.9900000000000002,116.8,10,5,29
11060,49.0,1.13,50521.0,3,1,0,1,2,11.55,0,0,-1.9499999999999995,17.6,10,6,6
8947,49.0,3.2,147003.0,3,1,0,1,1,13.45,0,0,-0.0500000000000007,17.7,11,4,10
10805,49.0,2.9,178060.0,2,1,0,1,1,13.51,0,0,0.0099999999999997,17.0,3,4,1
9975,49.0,7.9,182426.0,3,0,1,1,1,14.26,0,0,0.7599999999999998,25.0,4,5,27
8295,49.0,5.85,71022.0,3,1,0,1,1,12.21,0,0,-1.2899999999999991,47.9,9,4,12
9781,49.0,12.02,114376.0,3,1,1,1,1,11.42,0,0,-2.08,105.3,8,2,17
9864,49.0,2.09,75016.0,3,1,1,1,1,12.69,0,0,-0.8100000000000005,49.5,11,4,7
9895,49.0,6.4,78304.0,2,1,0,1,1,13.17,0,0,-0.33,48.6,1,0,12
9085,49.0,11.3,92896.0,3,1,1,1,1,10.8,0,0,-2.7,50.6,8,0,31
9661,49.0,2.8,76042.0,2,1,0,1,1,13.14,0,0,-0.3599999999999994,35.1,11,3,27
