,power(kW),quantity(kWh),avg_speed(km/h),tire_type,city,motor_way,country_roads,driving_style,park_heating,consumption(kWh/100km),trip_distance(km),month,weekday,day
10812,85.0,0.1,15.0,0.0,1,0,0,0.0,0,10.6,1.0,5,3,26
9289,85.0,2.1,41.0,0.0,1,0,1,0.0,0,9.3,23.0,2,1,12
10075,85.0,3.5,42.0,0.0,1,1,1,0.0,0,17.6,20.0,8,3,10
10803,85.0,2.72,42.0,0.0,1,0,1,0.0,0,8.5,32.0,5,0,30
9499,85.0,1.9,42.0,0.0,1,0,1,0.0,0,8.0,24.0,10,2,10
9971,85.0,5.1,57.0,0.0,1,0,1,0.0,0,13.4,38.0,10,2,4
11326,85.0,2.77,21.0,0.0,0,0,1,0.0,0,9.9,28.0,9,3,3
9916,85.0,3.6,45.0,0.0,1,1,1,0.0,0,17.9,20.0,11,3,2
17434,85.0,9.39,47.0,0.0,1,0,1,0.0,0,22.9,41.0,1,2,22
11574,85.0,1.02,14.0,0.0,1,0,0,0.0,0,20.4,5.0,5,6,3
9819,85.0,1.1,18.0,0.0,1,0,0,0.0,0,16.3,7.0,1,6,14
5060,85.0,16.8,63.0,0.0,0,1,1,0.0,0,13.5,123.0,6,1,25
10316,85.0,0.5,15.0,0.0,1,0,0,0.0,0,15.5,3.0,3,1,21
5337,85.0,10.5,48.0,0.0,0,0,1,0.0,0,16.2,38.0,12,0,10
10874,85.0,4.14,37.0,0.0,1,1,1,0.0,0,20.7,20.0,4,1,26
13170,111.0,3.1,50.0,0.0,1,0,0,0.0,0,16.58,24.1,9,0,16
10558,85.0,3.78,54.0,0.0,1,1,1,0.0,0,18.9,20.0,10,0,31
9597,85.0,1.2,49.0,0.0,1,1,1,0.0,0,6.1,20.0,8,4,3
5709,85.0,6.14,61.0,0.0,0,1,0,0.0,0,11.7,85.0,5,2,2
17171,85.0,8.82,37.0,0.0,1,0,1,0.0,0,10.5,84.0,9,2,8
17352,85.0,13.27,39.0,0.0,1,0,1,0.0,0,10.7,124.0,9,0,21
11715,85.0,26.08,63.0,0.0,1,1,1,0.0,0,14.9,175.0,2,6,15
17181,85.0,5.1,48.0,0.0,1,0,1,0.0,0,11.1,46.0,8,1,24
10215,85.0,1.5,43.0,0.0,1,0,1,0.0,0,7.5,20.0,5,0,15
10534,85.0,3.7,43.0,0.0,1,1,1,0.0,0,18.7,20.0,11,4,11
10921,85.0,1.63,24.0,0.0,1,0,0,0.0,0,11.7,14.0,4,5,2
28777,85.0,6.52,40.0,0.0,1,0,1,0.0,0,12.3,53.0,9,5,1
17165,85.0,8.09,47.0,0.0,1,0,1,0.0,0,11.9,68.0,9,2,15
11112,85.0,0.25,23.0,0.0,1,0,0,0.0,0,12.5,2.0,12,1,22
17094,85.0,3.91,41.0,0.0,1,0,1,0.0,0,20.6,19.0,12,0,13
5823,85.0,16.58,76.0,0.0,0,1,0,0.0,1,15.5,86.0,3,4,9
28689,85.0,15.74,44.0,0.0,1,0,1,0.0,0,16.4,96.0,1,2,2
11780,85.0,2.04,46.0,0.0,1,1,1,0.0,0,10.2,20.0,1,2,7
6148,85.0,5.56,78.0,0.0,0,1,0,0.0,0,12.8,129.0,9,3,28
5314,85.0,8.6,51.0,0.0,0,0,1,0.0,1,15.7,38.0,1,3,10
17023,85.0,3.58,41.0,0.0,1,0,1,0.0,0,16.3,22.0,2,0,28
11348,85.0,4.2,43.0,0.0,1,1,1,0.0,0,21.0,20.0,8,2,26
10089,85.0,3.7,50.0,0.0,1,1,1,0.0,0,18.4,20.0,8,3,3
11563,85.0,0.5,20.0,0.0,1,0,0,0.0,0,12.6,4.0,5,5,9
11231,85.0,0.35,27.0,0.0,1,0,0,0.0,0,17.8,2.0,10,1,20
17197,85.0,8.61,45.0,0.0,1,0,1,0.0,0,12.3,70.0,7,2,28
10891,85.0,1.01,35.0,0.0,1,0,1,0.0,0,9.2,11.0,4,6,17
9776,85.0,3.7,41.0,0.0,1,1,1,0.0,0,18.6,20.0,4,2,25
4986,85.0,9.71,69.0,0.0,0,1,1,0.0,0,14.2,50.0,8,4,2
10877,85.0,0.65,24.0,0.0,1,0,0,0.0,0,16.3,4.0,4,6,24
10784,85.0,0.33,19.0,0.0,1,0,0,0.0,0,16.9,2.0,6,2,8
10002,85.0,1.7,56.0,0.0,1,0,0,0.0,0,12.2,14.0,9,4,15
4880,85.0,10.78,83.0,0.0,0,1,0,0.0,0,17.4,47.0,9,6,29
5119,85.0,5.67,67.0,0.0,0,0,1,0.0,0,12.2,62.0,5,0,20
4958,85.0,2.0,53.0,0.0,0,0,1,0.0,0,13.4,42.0,8,4,23
16984,85.0,17.2,44.0,0.0,1,1,1,0.0,0,12.74,135.0,4,1,12
17298,85.0,9.63,31.0,0.0,1,0,1,0.0,0,21.9,44.0,1,4,15
9510,85.0,3.5,49.0,0.0,1,1,1,0.0,0,17.6,20.0,10,4,5
17106,85.0,3.82,44.0,0.0,1,0,1,0.0,0,17.4,22.0,12,4,3
10199,85.0,3.1,46.0,0.0,1,1,1,0.0,0,16.1,19.0,5,1,23
11731,85.0,0.78,18.0,0.0,1,0,0,0.0,0,26.0,3.0,2,2,4
10697,85.0,3.2,47.0,0.0,1,1,1,0.0,0,16.0,20.0,7,2,20
10034,85.0,1.4,51.0,0.0,1,1,1,0.0,0,7.5,19.0,8,2,30
