,power(kW),trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,park_heating,avg_speed(km/h),ecr_deviation,month,weekday,day
149,100.0,88.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,1.0,5.0
150,100.0,50.0,21.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,0.0,4.0
151,100.0,36.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,0.0,4.0
152,100.0,88.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,0.0,4.0
153,100.0,58.0,16.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,1.0
154,100.0,57.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,1.0
155,100.0,58.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,1.0
156,100.0,6.0,13.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,3.0,30.0
157,100.0,10.0,9.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,3.0,30.0
158,100.0,114.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,3.0,30.0
159,100.0,42.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,3.0,30.0
160,100.0,84.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,2.0,29.0
161,100.0,115.0,15.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,2.0,29.0
162,100.0,85.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,1.0,28.0
163,100.0,92.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,1.0,28.0
164,100.0,82.0,21.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,0.0,27.0
165,100.0,49.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,0.0,27.0
166,100.0,100.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,4.0,24.0
167,100.0,104.0,5.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,4.0,24.0
168,100.0,33.0,22.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,3.0,23.0
169,100.0,125.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,3.0,23.0
170,100.0,88.0,15.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,2.0,22.0
171,100.0,152.0,8.5,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,2.0,22.0
172,100.0,80.0,20.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,1.0,21.0
173,100.0,40.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,1.0,21.0
174,100.0,104.0,20.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,1.0,21.0
175,100.0,65.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,0.0,20.0
176,100.0,101.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,6.0,19.0
177,100.0,94.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,9.0,5.0,18.0
178,100.0,190.0,28.05,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,3.0,16.0
179,100.0,72.0,22.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,2.0,15.0
180,100.0,69.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,1.0,14.0
181,100.0,84.0,20.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,0.0,13.0
182,100.0,57.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,0.0,13.0
183,100.0,58.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,6.0,12.0
184,100.0,92.0,8.8,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,4.0,10.0
185,100.0,87.0,19.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,3.0,9.0
186,100.0,127.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,3.0,9.0
187,100.0,89.0,19.19,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,2.0,8.0
188,100.0,75.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,1.0,7.0
189,100.0,72.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,1.0,7.0
190,100.0,74.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,0.0,6.0
191,100.0,101.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,0.0,6.0
192,100.0,74.0,20.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,4.0,3.0
193,100.0,56.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,4.0,3.0
194,100.0,59.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,4.0,3.0
195,100.0,84.0,16.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,3.0,2.0
196,100.0,102.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.31,9.0,2.0,1.0
197,100.0,70.0,24.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,1.0,31.0
198,100.0,120.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,1.0,31.0
199,100.0,56.0,20.64,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,0.0,30.0
200,100.0,30.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,0.0,30.0
201,100.0,10.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,0.0,30.0
202,100.0,106.0,16.1,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,6.0,29.0
203,100.0,115.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.36,8.0,6.0,29.0
204,100.0,59.0,23.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.39,8.0,4.0,27.0
205,100.0,104.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.39,8.0,4.0,27.0
206,100.0,183.0,22.6,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.39,8.0,3.0,26.0
207,100.0,85.0,25.1,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.29,8.0,2.0,25.0
208,100.0,92.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.29,8.0,2.0,25.0
209,100.0,55.0,19.63,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.29,8.0,1.0,24.0
210,100.0,57.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.29,8.0,1.0,24.0
212,100.0,70.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,30.0
213,100.0,130.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,30.0
214,100.0,50.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,6.0,28.0
215,100.0,77.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,25.0
216,100.0,58.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,22.0
217,100.0,37.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,4.0,19.0
218,100.0,69.0,3.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,4.0,19.0
219,100.0,12.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,18.0
220,100.0,74.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,18.0
221,100.0,101.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,17.0
222,100.0,59.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,16.0
223,100.0,100.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,6.0,14.0
224,100.0,60.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,5.0,13.0
225,100.0,179.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,4.0,12.0
226,100.0,55.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,11.0
227,100.0,24.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,11.0
228,100.0,76.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,10.0
229,100.0,41.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,10.0
230,100.0,43.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,9.0
231,100.0,92.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,8.0
232,100.0,112.0,14.5,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,4.0,5.0
233,100.0,95.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,4.0
234,100.0,58.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,4.0
235,100.0,173.0,19.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,3.0
236,100.0,23.0,29.22,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.4,8.0,1.0,2.0
237,100.0,189.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.4,8.0,1.0,2.0
238,100.0,49.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.4,7.0,5.0,30.0
239,100.0,84.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.4,7.0,5.0,30.0
240,100.0,127.0,24.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,3.0,28.0
241,100.0,65.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,3.0,28.0
242,100.0,59.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,1.0,26.0
243,100.0,115.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,1.0,26.0
244,100.0,58.0,13.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,0.0,25.0
245,100.0,339.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,0.0,25.0
246,100.0,96.0,30.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,0.0,18.0
247,100.0,93.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,4.0,15.0
248,100.0,55.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,2.0,13.0
249,100.0,115.0,11.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-0.95,7.0,2.0,13.0
