,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
2469,278.0,21.0,42965.0,2.0,1,1,1,1.0,24.8,0,0,8.7,36.0,11,4,10
2296,278.0,49.0,56057.0,3.0,1,1,1,1.0,21.77,0,0,5.669999999999998,162.0,4,4,27
10600,49.0,7.9,94885.0,3.0,1,0,1,1.0,11.38,0,0,-2.119999999999999,69.4,9,5,19
17941,35.0,8.1,127573.0,2.0,1,1,1,3.0,19.29,0,1,6.789999999999999,42.0,11,2,28
21624,132.0,9.46,37613.0,3.0,1,1,1,2.0,15.26,0,0,-1.3400000000000016,62.0,4,2,25
2587,278.0,49.0,6653.0,3.0,1,0,1,1.0,20.56,0,0,4.459999999999997,220.0,5,6,29
12918,85.0,6.95,21222.0,2.0,0,1,0,1.0,14.2,0,0,1.5,49.0,2,6,28
10386,49.0,12.65,55732.0,2.0,1,0,1,1.0,13.11,0,0,-0.3900000000000005,96.5,1,3,9
13923,49.0,11.15,44908.0,3.0,1,1,1,1.0,11.97,0,0,-0.5299999999999994,44.6,8,5,7
13925,49.0,5.03,11224.0,2.0,1,1,1,3.0,14.88,0,0,2.380000000000001,57.3,12,5,14
21597,132.0,25.51,87697.0,3.0,1,1,1,1.0,24.08,0,1,7.479999999999997,133.0,3,0,8
21487,132.0,3.4,47850.0,3.0,1,1,1,1.0,18.58,0,0,1.9799999999999969,64.0,9,0,24
10596,49.0,7.0,4104.0,3.0,1,0,1,1.0,12.11,0,0,-1.3900000000000006,57.8,8,6,7
17656,35.0,5.6,165157.0,3.0,1,1,1,1.0,13.02,1,0,0.5199999999999996,43.0,8,2,12
20085,35.0,6.4,175186.0,2.0,1,1,1,1.0,15.24,0,0,2.74,42.0,2,4,26
7050,85.0,9.17,46369.0,2.0,0,1,0,2.0,14.2,0,1,1.5,57.0,3,2,14
10017,49.0,5.77,69423.0,3.0,1,0,1,1.0,11.75,0,0,-1.75,49.1,8,4,15
20754,132.0,10.4,98514.0,3.0,1,0,1,1.0,21.67,0,1,5.07,48.0,10,5,16
14363,49.0,8.79,23191.0,3.0,1,1,1,1.0,12.81,0,0,0.3100000000000005,67.9,6,0,29
2411,278.0,5.0,29915.0,3.0,1,0,1,1.0,24.68,0,0,8.579999999999998,22.0,4,3,20
17364,88.0,4.01,49973.0,3.0,1,0,0,2.0,12.46,0,0,2.338644558918237,32.2,9,3,24
22850,278.0,9.0,78323.0,2.0,1,0,1,1.0,27.97,0,0,11.869999999999996,20.0,1,6,6
2607,278.0,29.0,80400.0,2.0,0,1,0,1.0,25.31,0,0,9.209999999999996,176.0,2,1,5
16405,88.0,17.33,44923.0,3.0,1,1,1,2.0,13.98,0,0,2.338644558918237,123.9,2,1,25
20803,132.0,5.0,74366.0,1.0,1,1,1,1.0,16.6,0,1,0.0,37.0,12,0,9
2081,278.0,5.0,14543.0,3.0,1,0,1,1.0,24.16,0,0,8.059999999999999,188.0,9,3,15
23052,278.0,41.0,136076.0,3.0,0,1,0,1.0,22.16,0,0,6.059999999999999,306.0,8,6,29
16691,88.0,17.37,10413.0,3.0,0,0,0,2.0,13.84,0,0,2.338644558918237,125.5,5,2,2
6415,85.0,3.9,33464.0,2.0,0,1,0,2.0,14.4,0,1,1.700000000000001,34.0,12,3,14
11127,49.0,5.5,164592.0,3.0,1,0,1,1.0,11.75,0,0,-1.75,46.8,8,3,16
7370,85.0,14.0,103341.0,3.0,0,1,1,3.0,16.7,0,0,4.0,69.0,7,3,18
10497,49.0,12.56,33307.0,2.0,1,0,1,1.0,13.02,0,0,-0.4800000000000004,96.5,11,5,17
