,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
28402,35.0,5.4,25414.0,3.0,1,1,1,2.0,12.86,1,0,0.3599999999999994,42.0,7,2,23
29735,132.0,2.2,76070.0,1.0,1,1,1,1.0,17.48,0,1,0.879999999999999,164.0,1,6,12
30946,278.0,26.0,106480.0,2.0,1,0,1,1.0,24.65,0,0,8.549999999999997,150.0,11,5,23
25693,35.0,5.1,165283.0,3.0,1,1,1,1.0,12.14,0,0,-0.3599999999999994,42.0,8,4,14
25481,35.0,6.6,174518.0,2.0,1,1,1,1.0,15.35,0,1,2.85,43.0,2,1,16
30241,132.0,15.45,35468.0,3.0,1,1,1,2.0,22.72,0,0,6.119999999999997,68.0,3,0,5
8901,49.0,14.47,84466.0,3.0,1,0,1,1.0,11.5,0,0,-2.0,125.8,4,1,28
5214,85.0,13.94,86935.0,2.0,0,1,1,2.0,14.3,0,0,1.6000000000000014,32.0,4,1,2
26917,35.0,8.1,103317.0,3.0,1,1,1,1.0,13.97,0,0,1.4700000000000006,58.0,10,5,14
5956,85.0,13.39,36223.0,2.0,0,1,0,2.0,14.2,0,1,1.5,87.0,1,2,3
27075,35.0,5.4,94938.0,3.0,1,1,1,1.0,12.27,0,0,-0.2300000000000004,44.0,5,0,29
30025,132.0,30.0,53603.0,1.0,1,0,1,2.0,17.48,0,0,0.879999999999999,72.0,12,3,13
31494,278.0,39.0,37195.0,3.0,1,0,1,1.0,23.37,0,0,7.27,95.0,8,1,8
11041,85.0,12.83,20343.0,2.0,0,1,0,2.0,15.1,0,0,2.4000000000000004,85.0,1,6,31
7708,49.0,5.66,155057.0,3.0,0,1,0,1.0,10.85,0,0,-2.6500000000000004,51.0,4,6,15
8618,49.0,9.74,103969.0,2.0,1,0,1,1.0,14.19,0,0,0.6899999999999995,65.8,2,3,18
8516,49.0,8.72,110523.0,3.0,1,0,1,1.0,10.16,0,0,-3.34,117.2,6,1,7
30274,132.0,21.0,32631.0,3.0,1,0,1,2.0,17.5,0,0,0.8999999999999986,120.0,1,4,19
22761,88.0,10.81,48290.0,3.0,1,1,1,2.0,12.0,0,0,2.306997751726371,90.1,7,0,27
17675,49.0,10.95,63359.0,3.0,1,0,1,1.0,11.65,0,0,-0.8499999999999996,94.0,5,1,17
