,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
19540,35.0,7.2,52652.0,3.0,1,1,1,1.0,13.85,0,0,1.3499999999999996,52.0,9,1,15
18692,35.0,4.2,49833.0,3.0,1,1,1,2.0,10.0,0,0,-2.5,42.0,7,1,28
22565,278.0,18.53,129920.0,3.0,1,1,1,1.0,25.9,0,0,9.799999999999995,99.0,5,1,4
16507,88.0,16.96,11348.0,3.0,0,0,0,2.0,10.75,0,0,2.3533633947983073,157.7,5,1,22
21381,132.0,7.2,87564.0,3.0,1,0,1,1.0,15.9,0,0,-0.7000000000000011,40.0,3,5,6
1382,278.0,42.0,129264.0,2.0,1,0,1,1.0,27.0,0,0,10.9,94.0,4,4,9
6624,85.0,10.49,95003.0,3.0,0,1,1,2.0,13.4,0,1,0.7000000000000011,85.0,5,1,28
6369,85.0,19.8,113517.0,3.0,1,1,0,2.0,13.5,0,0,0.8000000000000007,105.0,9,2,25
10455,49.0,7.7,117654.0,3.0,0,1,1,1.0,11.43,0,0,-2.0700000000000003,46.4,9,0,12
17382,88.0,17.11,8113.0,3.0,1,1,0,2.0,13.81,0,0,2.3533633947983073,123.9,3,2,14
10560,49.0,14.73,68924.0,3.0,1,0,1,1.0,10.84,0,0,-2.66,136.0,8,2,6
8585,49.0,7.37,126428.0,2.0,1,0,1,1.0,13.78,0,0,0.2799999999999993,53.5,2,3,23
12377,85.0,2.08,41084.0,2.0,1,0,1,2.0,9.9,0,0,-2.799999999999999,21.0,2,1,7
19535,35.0,6.5,171621.0,2.0,1,1,1,1.0,15.48,0,1,2.9800000000000004,42.0,12,4,18
2110,278.0,8.0,96453.0,3.0,1,1,1,1.0,19.21,0,0,3.1099999999999994,212.0,7,2,10
2062,278.0,35.0,32750.0,3.0,0,1,0,1.0,20.4,0,0,4.299999999999997,220.0,5,0,22
14144,49.0,7.44,57181.0,2.0,1,0,1,1.0,15.47,0,1,2.9700000000000006,48.1,1,1,25
14462,49.0,7.3,27307.0,3.0,1,0,1,1.0,12.17,0,0,-0.33,15.5,9,5,12
14632,49.0,6.46,67254.0,3.0,1,0,1,1.0,11.99,0,0,-0.5099999999999998,49.8,7,4,8
